BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
MARI;55000;1100;1;50.00;445;PBID;278000;200;1;1390.00;
BOLA;48300;300;2;161.00;446;INDS;254000;100;1;2540.00;
MTLA;42200;100;1;422.00;447;FIRE;249800;2100;2;118.95;
MCOR;39000;500;1;78.00;448;ARII;240000;1100;2;218.18;
DFAM;37800;600;2;63.00;449;ZBRA;228400;500;2;456.80;
JAST;35700;700;1;51.00;450;IPCM;197400;700;1;282.00;
PSGO;31600;200;1;158.00;451;BABY;154200;900;2;171.33;
NIKL;30000;100;1;300.00;452;BGTG;154000;2000;1;77.00;
PTSN;25800;100;1;258.00;453;TALF;150000;500;1;300.00;
DNAR;24600;200;2;123.00;454;RELI;150000;300;1;500.00;
LPLI;23000;100;1;230.00;455;SKLT;107200;400;1;268.00;
GWSA;15500;100;1;155.00;456;PRIM;102700;1300;1;79.00;
POLL;15100;100;1;151.00;457;AMAG;87000;300;1;290.00;
DWGL;11700;100;1;117.00;458;OKAS;65300;600;2;108.83;
MDLN;6300;100;1;63.00;459;BUDI;55200;200;1;276.00;
;;;;460;UNSP;45600;400;2;114.00;
;;;;461;IGAR;44000;100;1;440.00;
;;;;462;MKTR;13900;100;1;139.00;
